metro_area,customer_satisfaction,BusinessAcceptsCreditCards,WheelchairAccessible,OutdoorSeating,HasTV,DogsAllowed,GoodForKids,RestaurantsGoodForGroups,DriveThru,RestaurantsPriceRange2,latenight,lunch,dinner,breakfast,HasFreeWiFi
St Louis,-3,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA
Reno,211.5,1,1,0,1,NA,1,1,1,1,0,1,0,0,0
Boise,7,1,1,NA,1,NA,1,1,1,1,NA,NA,NA,NA,0
Indianapolis,16.5,1,NA,1,1,NA,1,1,NA,1,NA,NA,NA,NA,1
Nashville,37.5,1,NA,1,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,1
Indianapolis,-7,1,NA,0,1,NA,1,0,1,1,0,0,0,0,1
New Orleans,6,1,NA,0,1,NA,1,1,NA,1,0,1,0,0,0
Indianapolis,0,1,NA,NA,NA,NA,1,0,1,NA,NA,NA,NA,NA,NA
New Orleans,51,1,1,0,1,NA,1,1,1,1,NA,NA,NA,NA,0
Philadelphia,3.5,1,NA,0,1,NA,1,1,0,1,0,0,0,0,NA
Nashville,-14,1,NA,NA,1,NA,1,1,NA,1,0,0,0,0,NA
St Louis,20,1,NA,1,1,NA,1,1,1,1,0,0,0,0,0
St Louis,10,1,NA,0,1,NA,1,1,1,2,NA,NA,NA,NA,0
Indianapolis,-5,1,NA,0,0,NA,1,1,1,1,NA,NA,NA,NA,NA
St Louis,24,1,NA,1,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,1
Tucson,72,1,NA,0,1,NA,1,1,1,1,1,1,0,0,0
St Louis,5.5,1,NA,NA,NA,NA,1,1,1,1,NA,NA,NA,NA,NA
Tucson,18,1,NA,0,1,NA,1,1,1,1,NA,NA,NA,NA,NA
Tucson,33,1,NA,0,1,NA,1,1,1,1,NA,NA,NA,NA,0
New Orleans,11.5,1,NA,0,1,NA,1,1,1,1,0,0,0,0,1
Philadelphia,5.5,1,NA,0,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1
St Louis,0,1,NA,0,NA,NA,1,0,NA,1,NA,NA,NA,NA,NA
Indianapolis,19.5,1,NA,0,1,NA,1,0,NA,1,NA,NA,NA,NA,NA
Tucson,18,1,NA,NA,1,NA,1,0,NA,1,NA,NA,NA,NA,NA
Philadelphia,9,1,NA,0,1,NA,1,1,NA,1,NA,NA,NA,NA,NA
St Louis,0,1,NA,0,1,NA,1,1,1,1,0,0,0,0,0
Philadelphia,0,1,NA,0,1,NA,1,1,NA,1,NA,NA,NA,NA,1
St Louis,39,1,NA,1,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,1
Nashville,-19,1,NA,0,0,NA,1,0,0,1,0,1,0,0,0
Tucson,75,1,NA,1,NA,1,NA,NA,NA,2,NA,NA,NA,NA,1
Tucson,47,1,NA,1,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,1
Philadelphia,-3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
Indianapolis,-10,1,NA,0,1,NA,1,1,NA,1,0,0,0,0,NA
Philadelphia,25.5,1,NA,0,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1
Reno,-9,1,NA,0,0,NA,1,0,NA,1,NA,NA,NA,NA,0
Philadelphia,3,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
Philadelphia,0,1,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1
St Louis,0,1,NA,0,1,NA,1,0,0,1,NA,NA,NA,NA,0
Santa Barbara,0,1,NA,1,1,NA,1,1,1,1,0,0,0,1,1
Tampa,32,1,NA,0,1,NA,1,1,NA,1,0,1,0,0,0
New Orleans,20,1,1,0,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1
Indianapolis,90,1,NA,1,NA,NA,NA,NA,1,2,NA,NA,NA,NA,1
Tampa,4,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
St Louis,42,1,NA,0,0,NA,1,1,NA,1,0,0,0,1,0
St Louis,28,1,NA,1,0,NA,1,1,NA,1,NA,NA,NA,NA,NA
Nashville,3.5,1,NA,0,1,NA,1,1,0,1,0,0,0,0,NA
Nashville,-4.5,1,NA,0,1,NA,1,1,NA,1,0,0,0,0,0
Tucson,48,1,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1
Tampa,19.5,1,NA,0,NA,0,NA,NA,NA,2,NA,NA,NA,NA,1
St Louis,-11,1,NA,1,0,NA,1,0,0,1,NA,NA,NA,NA,1
Indianapolis,-7,1,NA,0,1,NA,1,0,NA,1,NA,NA,NA,NA,0
Philadelphia,-20.5,1,NA,1,0,NA,1,1,NA,1,0,0,0,0,0
Boise,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
St Louis,33,1,NA,1,1,NA,1,1,0,1,0,0,0,0,0
St Louis,138,1,NA,1,0,NA,1,1,0,2,0,1,1,0,0
Reno,264,1,NA,0,1,NA,1,1,NA,2,0,1,1,0,1
Philadelphia,9,1,NA,0,NA,NA,0,0,NA,1,NA,NA,NA,NA,1
Tampa,61.5,1,NA,1,0,NA,1,1,0,1,0,0,0,0,1
Philadelphia,41,1,1,0,1,NA,1,1,1,1,0,1,1,0,0
Philadelphia,-5,1,NA,NA,NA,NA,1,0,NA,1,NA,NA,NA,NA,NA
Reno,13,1,NA,0,1,NA,1,1,NA,1,NA,NA,NA,NA,1
Nashville,0,1,NA,0,1,NA,1,1,NA,1,NA,NA,NA,NA,NA
St Louis,15.5,1,NA,1,1,NA,1,1,1,1,0,0,0,1,1
Tampa,-8,1,NA,0,1,NA,1,1,NA,1,NA,NA,NA,NA,1
Indianapolis,-14.5,1,NA,NA,1,NA,NA,NA,1,1,NA,NA,NA,NA,0
St Louis,57,1,NA,1,NA,1,NA,NA,NA,2,NA,NA,NA,NA,1
Tucson,-12,1,NA,NA,1,NA,1,1,1,1,0,0,0,0,1
St Louis,-11,1,NA,0,1,NA,1,1,1,1,NA,NA,NA,NA,0
Tucson,11,1,NA,NA,1,NA,1,1,1,1,0,0,0,0,1
Nashville,6,1,NA,0,NA,NA,1,1,NA,1,0,0,0,0,NA
Philadelphia,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Boise,12,1,NA,0,1,NA,1,1,NA,1,NA,NA,NA,NA,NA
Indianapolis,0,1,NA,NA,1,NA,1,1,1,1,0,0,0,0,1
Reno,104,1,NA,1,0,NA,1,1,NA,1,0,1,1,0,1
Indianapolis,0,1,NA,0,1,NA,1,1,1,1,NA,NA,NA,NA,NA
St Louis,3.5,1,NA,0,1,NA,1,0,NA,1,NA,NA,NA,NA,0
Indianapolis,27,1,NA,NA,0,0,1,1,1,1,0,0,0,0,0
Tucson,7,1,1,1,1,0,1,1,1,1,0,0,0,0,0
St Louis,0,1,NA,1,1,NA,1,1,NA,1,0,0,0,0,1
Indianapolis,38,1,NA,1,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,1
Tampa,9.5,1,NA,0,1,NA,1,1,NA,1,NA,NA,NA,NA,NA
Tampa,0,1,NA,0,1,NA,1,1,1,1,0,0,0,0,1
Nashville,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Indianapolis,91.5,1,NA,1,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,1
Reno,0,1,NA,0,1,NA,1,0,1,1,0,1,0,0,1
Indianapolis,-22.5,1,0,0,1,NA,1,1,1,1,0,0,0,0,1
Indianapolis,15,1,NA,0,1,NA,1,1,1,1,NA,NA,NA,NA,NA
Tampa,62,1,NA,1,NA,0,NA,NA,NA,2,NA,NA,NA,NA,1
Philadelphia,-3.5,1,NA,0,NA,NA,1,1,NA,1,0,0,0,0,NA
Indianapolis,-13,1,NA,NA,NA,NA,0,NA,1,1,NA,NA,NA,NA,NA
St Louis,51,1,NA,1,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,1
Indianapolis,69,1,NA,1,NA,NA,NA,NA,1,2,NA,NA,NA,NA,1
Tampa,-5,1,NA,NA,NA,NA,0,NA,NA,1,NA,NA,NA,NA,NA
St Louis,48,1,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1
Tucson,166.5,1,NA,1,1,NA,1,1,NA,1,0,1,1,0,1
Tampa,40,1,NA,1,1,NA,1,1,1,2,NA,1,1,1,1
Tucson,10,1,NA,NA,NA,NA,1,0,NA,1,NA,NA,NA,NA,NA
Tampa,16,1,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1
Philadelphia,0,1,NA,NA,1,NA,1,1,1,1,0,0,0,0,1
St Louis,32,1,NA,1,1,NA,1,1,NA,1,1,1,0,0,1
St Louis,-15.5,1,NA,0,1,NA,1,1,1,1,0,0,0,0,1
Indianapolis,-11,1,NA,NA,NA,NA,0,0,1,1,0,0,0,0,1
Indianapolis,3.5,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
Reno,0,1,NA,1,1,0,1,1,1,1,0,0,0,0,1
Indianapolis,19,1,NA,0,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1
Tucson,35,1,NA,1,NA,NA,NA,NA,NA,2,0,0,0,0,1
St Louis,-25,1,NA,0,1,NA,1,1,1,1,0,1,0,1,0
Tucson,-74,1,NA,0,1,NA,1,0,1,1,0,0,0,0,NA
Nashville,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
St Louis,52.5,1,NA,1,NA,NA,1,NA,NA,2,NA,NA,NA,NA,1
St Louis,-13.5,1,NA,0,1,NA,1,1,NA,1,NA,NA,NA,NA,1
Philadelphia,-7,1,NA,0,1,NA,1,1,NA,1,0,0,0,0,1
New Orleans,8.5,1,NA,0,1,NA,1,1,NA,1,NA,NA,NA,NA,NA
Santa Barbara,50,1,NA,1,NA,NA,1,0,NA,1,NA,NA,NA,NA,1
Tucson,5.5,1,NA,1,NA,NA,1,1,NA,1,NA,NA,NA,NA,NA
Nashville,-7,1,NA,NA,1,NA,1,1,NA,1,NA,NA,NA,NA,NA
St Louis,-31,1,NA,0,1,NA,1,1,1,1,0,0,0,0,NA
Boise,0,1,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA
Philadelphia,0,1,NA,0,1,NA,1,1,NA,2,NA,NA,NA,NA,0
Nashville,68,1,NA,1,1,NA,1,1,NA,1,0,0,0,1,1
New Orleans,-7.5,1,NA,NA,1,NA,1,1,NA,1,0,0,0,0,NA
Tucson,11,1,NA,0,1,NA,1,1,1,1,0,0,0,0,0
Tucson,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Philadelphia,5.5,1,NA,0,1,NA,1,1,1,1,0,0,0,0,1
New Orleans,0,1,NA,NA,1,NA,1,NA,1,1,0,0,0,0,1
Nashville,-36.5,1,NA,0,1,NA,1,1,1,1,0,0,0,0,1
Reno,21,1,NA,1,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,1
Nashville,-23,1,NA,0,1,NA,1,1,1,1,0,0,0,1,1
Boise,30,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1
Indianapolis,51,1,NA,0,1,NA,1,1,1,1,0,1,0,0,1
St Louis,3.5,1,NA,NA,NA,NA,NA,0,1,1,NA,NA,NA,NA,NA
St Louis,0,1,NA,0,1,NA,1,1,1,1,NA,NA,NA,NA,1
Philadelphia,10,1,NA,0,1,NA,1,1,0,1,0,0,0,0,0
St Louis,-4,1,1,1,1,0,1,1,1,1,0,0,0,0,0
Tucson,0,1,NA,1,1,NA,1,1,1,1,NA,NA,NA,NA,0
Philadelphia,-44.5,1,NA,0,1,NA,1,1,1,1,1,1,1,1,1
Nashville,-12,1,1,1,1,0,1,1,1,NA,NA,NA,NA,NA,0
Indianapolis,-13.5,NA,NA,1,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA
Indianapolis,16.5,1,1,0,NA,NA,1,1,NA,1,0,0,0,0,NA
Tucson,12,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
St Louis,-9.5,1,NA,0,1,NA,1,1,1,1,NA,NA,NA,NA,0
Reno,0,1,NA,0,1,NA,1,1,1,1,0,0,0,0,0
St Louis,10,1,NA,0,0,NA,1,1,NA,1,NA,NA,NA,NA,NA
Tucson,8,1,NA,0,NA,NA,1,0,NA,1,NA,NA,NA,NA,NA
Tucson,24,1,NA,1,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,1
Tampa,42,1,NA,0,0,NA,1,1,NA,1,0,0,0,0,0
Tucson,0,1,NA,0,0,NA,1,1,1,2,NA,NA,NA,NA,0
Reno,-33.5,1,NA,NA,1,NA,1,1,1,1,0,0,0,0,1
St Louis,0,1,NA,0,1,NA,1,1,1,1,NA,NA,NA,NA,1
Philadelphia,0,1,NA,0,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1
Indianapolis,-11.5,1,NA,1,1,NA,1,1,1,1,NA,NA,NA,NA,NA
Indianapolis,13,1,NA,0,1,NA,1,1,1,1,0,0,0,0,1
Indianapolis,-16.5,1,NA,0,1,NA,1,0,1,1,0,0,0,0,1
Tucson,108,1,1,0,1,NA,1,1,1,1,0,1,0,0,0
Nashville,39,1,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1
Tucson,72,1,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1
Tampa,-4,1,NA,0,1,NA,1,1,1,1,NA,NA,NA,NA,0
Indianapolis,10,1,NA,0,1,NA,1,1,1,1,0,0,0,0,0
St Louis,6,1,NA,0,1,NA,1,1,NA,1,NA,NA,NA,NA,1
St Louis,86,1,NA,1,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,1
Indianapolis,13.5,1,NA,NA,NA,NA,0,1,NA,NA,NA,NA,NA,NA,1
New Orleans,0,1,NA,NA,1,NA,1,1,1,1,NA,NA,NA,NA,0
St Louis,37.5,1,1,0,1,NA,0,0,NA,2,0,0,0,0,0
Reno,22.5,1,NA,0,1,NA,1,1,NA,1,0,1,0,0,0
Tampa,0,1,NA,0,1,NA,1,1,NA,1,NA,NA,NA,NA,NA
Philadelphia,14,1,NA,0,1,NA,1,0,NA,1,NA,NA,NA,NA,NA
Tampa,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tucson,0,1,NA,0,1,NA,1,1,1,1,0,1,0,0,0
Philadelphia,-4.5,1,NA,0,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1
Boise,24,1,NA,1,1,NA,1,1,1,4,NA,NA,NA,NA,NA
Philadelphia,22,1,NA,0,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1
Tampa,0,1,NA,0,1,NA,1,0,1,1,0,0,0,0,1
Indianapolis,0,1,NA,0,1,NA,0,0,1,1,0,0,0,0,1
Tucson,-19.5,1,NA,0,1,NA,1,1,1,1,NA,NA,NA,NA,1
Philadelphia,81,1,NA,1,0,NA,1,1,NA,2,0,1,1,0,1
Tucson,14,1,NA,0,1,NA,1,1,NA,2,NA,NA,NA,NA,1
Tampa,92,1,NA,1,NA,1,NA,NA,NA,2,NA,NA,NA,NA,1
Reno,34.5,1,NA,1,NA,1,NA,NA,NA,2,NA,NA,NA,NA,1
Boise,15,1,NA,1,1,NA,1,1,1,1,0,1,0,0,NA
Tampa,-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
Santa Barbara,113,1,NA,1,NA,NA,1,NA,NA,2,NA,NA,NA,NA,1
Boise,9,1,NA,0,0,NA,1,1,NA,1,0,0,0,0,0
St Louis,0,1,NA,0,1,NA,1,1,NA,1,0,0,0,0,NA
Tucson,66,1,1,0,1,NA,1,1,1,1,0,1,1,0,0
Tampa,0,1,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,1
Tucson,0,1,NA,1,1,NA,1,1,NA,1,NA,NA,NA,NA,NA
Indianapolis,4,1,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,0
Indianapolis,35,1,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,NA,1
Philadelphia,22,1,NA,0,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1
St Louis,10.5,1,NA,1,0,NA,0,0,NA,1,NA,NA,NA,NA,NA
Tampa,-17,1,NA,0,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1
Indianapolis,-10,1,NA,NA,1,NA,1,0,1,1,NA,NA,NA,NA,NA
New Orleans,47,1,NA,1,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,1
Tampa,-9.5,1,NA,0,NA,NA,1,0,NA,1,NA,NA,NA,NA,NA
Tampa,135,1,NA,1,1,0,1,1,1,1,0,1,0,1,1
Nashville,4,1,NA,0,1,NA,1,0,NA,1,NA,NA,NA,NA,0
Philadelphia,0,1,NA,0,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1
Tucson,12,1,NA,0,1,NA,1,0,NA,1,NA,NA,NA,NA,NA
Indianapolis,-12,1,NA,0,1,NA,1,1,NA,1,NA,NA,NA,NA,NA
Indianapolis,4,1,NA,NA,1,NA,1,1,NA,1,NA,NA,NA,NA,NA
Tucson,3,1,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,NA,NA
Tampa,0,1,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1
Tucson,7.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
Tucson,0,1,NA,1,1,NA,1,0,1,1,NA,NA,NA,NA,1
Tampa,64,1,NA,1,1,NA,1,1,1,2,0,1,NA,1,1
Tucson,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tucson,-34.5,1,NA,0,0,NA,1,1,1,1,0,0,0,0,0
Tampa,-16.5,1,NA,NA,1,NA,1,1,1,1,NA,NA,NA,NA,1
Indianapolis,14.5,1,NA,NA,1,NA,1,1,NA,2,0,0,0,0,0
Indianapolis,51,1,NA,1,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,1
New Orleans,3.5,1,NA,0,0,NA,1,1,NA,1,NA,NA,NA,NA,1
Indianapolis,30,1,NA,0,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,1
Nashville,5,1,NA,0,1,NA,1,1,1,1,0,0,0,1,0
Tucson,5,1,NA,NA,1,NA,1,1,1,1,0,0,0,0,0
Boise,102,1,NA,1,1,NA,1,1,1,1,0,1,1,0,1
Tucson,5,1,NA,1,1,NA,1,1,NA,1,NA,NA,NA,NA,NA
Tucson,6.5,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
Santa Barbara,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
New Orleans,3.5,1,NA,0,1,NA,1,1,NA,1,NA,NA,NA,NA,NA
Indianapolis,29,1,NA,1,1,NA,1,1,1,2,0,NA,NA,1,1
Indianapolis,22,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
Tucson,10,1,NA,0,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,1
Tampa,17.5,1,NA,0,1,NA,1,1,1,1,0,0,0,0,1
Tucson,55.5,1,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1
Nashville,154,1,NA,0,0,NA,1,1,NA,1,0,1,1,0,0
Reno,-26,1,NA,0,1,NA,1,1,1,1,0,0,0,0,1
St Louis,-6.5,1,NA,0,1,NA,1,1,NA,1,NA,NA,NA,NA,0
Boise,0,1,NA,0,1,NA,1,1,NA,1,NA,NA,NA,NA,0
Indianapolis,0,1,NA,1,1,NA,1,1,1,1,1,1,0,0,1
Indianapolis,17,1,NA,0,1,NA,1,1,NA,1,0,0,0,0,NA
Tucson,-12,1,NA,0,1,NA,1,1,NA,1,NA,NA,NA,NA,0
Tampa,38,1,NA,1,0,NA,1,1,NA,1,0,1,1,0,0
St Louis,24,1,NA,1,1,NA,1,1,0,1,0,1,1,0,0
Indianapolis,5.5,1,NA,0,NA,NA,1,1,NA,1,NA,NA,NA,NA,NA
Tampa,0,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
Nashville,0,1,NA,0,1,NA,1,1,1,1,NA,NA,NA,NA,0
Boise,9,1,NA,1,1,NA,1,1,NA,1,NA,NA,NA,NA,NA
St Louis,5,1,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA
Philadelphia,0,1,NA,0,1,NA,1,0,NA,1,NA,NA,NA,NA,1
Indianapolis,7,1,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,NA,NA
Indianapolis,270,1,1,1,0,0,1,1,1,1,0,1,1,1,1
St Louis,6.5,1,NA,0,1,NA,1,1,1,1,0,0,0,0,1
Indianapolis,0,1,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA
Tampa,55.5,1,NA,0,0,NA,1,1,NA,2,0,0,0,0,0
Philadelphia,50,1,NA,0,NA,NA,1,0,NA,1,0,0,0,0,1
St Louis,52,1,NA,1,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,1
Indianapolis,-9.5,1,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA
Boise,13.5,1,NA,0,1,NA,1,0,1,2,NA,NA,NA,NA,0
Indianapolis,-10,1,NA,0,1,NA,1,0,1,1,0,0,0,0,0
Indianapolis,49.5,1,NA,0,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1
Tucson,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Philadelphia,0,1,NA,NA,1,NA,1,0,NA,2,0,1,0,0,0
Tucson,18,1,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,NA,NA
St Louis,0,1,1,1,1,NA,1,1,1,1,NA,NA,NA,NA,0
Tucson,0,1,NA,0,1,NA,1,1,NA,1,0,0,0,0,1
Tucson,0,1,NA,0,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,1
Reno,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nashville,0,1,NA,0,1,NA,1,1,1,1,0,0,0,0,1
St Louis,8,1,NA,0,1,NA,1,0,NA,1,0,0,0,0,NA
Tucson,0,1,NA,0,1,NA,1,1,1,1,0,0,0,0,1
Tampa,0,1,NA,1,1,NA,1,1,1,1,0,0,0,1,1
Philadelphia,58,1,NA,1,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,1
Tucson,-7,1,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA
Indianapolis,-20.5,1,NA,1,1,NA,1,1,1,1,0,0,0,0,1
Tampa,18,1,NA,0,1,NA,1,1,1,1,NA,NA,NA,NA,1
Reno,47,1,NA,1,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,1
Philadelphia,-13.5,1,NA,0,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1
St Louis,0,1,NA,0,1,NA,1,1,1,1,0,0,0,0,0
Reno,26,1,NA,0,1,NA,1,1,NA,1,NA,NA,NA,NA,1
Indianapolis,9,1,1,0,1,NA,1,0,1,1,NA,NA,NA,NA,0
Tucson,-4,1,NA,0,0,NA,1,1,1,1,0,0,0,0,1
Indianapolis,0,1,NA,NA,1,NA,1,1,1,NA,0,0,0,0,NA
Tampa,0,1,NA,0,1,NA,1,1,NA,1,0,1,0,0,1
Nashville,-8.5,1,NA,0,1,NA,1,0,NA,1,NA,NA,NA,NA,0
Philadelphia,0,1,NA,0,1,NA,1,1,1,1,NA,NA,NA,NA,1
Philadelphia,-3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Indianapolis,0,1,NA,1,1,NA,1,1,1,1,0,0,0,0,1
Tampa,0,1,NA,0,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1
Indianapolis,57,1,NA,1,NA,0,NA,NA,NA,1,NA,NA,NA,NA,1
New Orleans,0,1,NA,NA,1,NA,1,1,1,1,NA,NA,NA,NA,NA
Indianapolis,12,1,NA,0,1,NA,1,1,1,1,NA,NA,NA,NA,NA
Indianapolis,15,1,NA,0,1,NA,0,0,1,1,NA,NA,NA,NA,NA
Nashville,0,1,NA,0,1,NA,1,1,1,1,0,0,0,1,1
Tucson,177,1,NA,1,0,0,1,1,0,1,0,1,1,0,0
Reno,64.5,1,NA,0,0,NA,1,0,NA,1,0,0,0,0,0
Indianapolis,-34,1,NA,0,1,0,1,1,1,1,0,0,0,0,NA
Tucson,0,1,NA,1,1,NA,1,1,1,1,0,1,0,0,1
Philadelphia,48,1,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1
Tampa,11,1,NA,0,1,NA,1,1,1,1,NA,NA,NA,NA,1
Tucson,10,1,NA,0,1,NA,1,0,NA,1,NA,NA,NA,NA,0
Nashville,-3.5,1,NA,0,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA
Reno,0,1,NA,0,1,NA,1,1,1,1,0,1,0,0,0
Philadelphia,15,1,NA,0,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1
St Louis,-12,1,NA,0,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,1
St Louis,-6.5,1,NA,0,NA,NA,1,1,NA,1,NA,NA,NA,NA,NA
Boise,0,1,NA,0,NA,NA,1,1,NA,1,NA,NA,NA,NA,1
New Orleans,12,1,NA,0,1,NA,1,1,NA,1,NA,NA,NA,NA,0
Philadelphia,-11,1,NA,0,1,NA,1,1,1,1,NA,NA,NA,NA,1
Tucson,-31,1,NA,0,1,NA,1,1,1,1,0,0,0,0,0
Indianapolis,0,1,NA,1,1,NA,1,1,1,1,NA,NA,NA,NA,0
Tucson,48,1,NA,1,0,NA,1,1,1,1,0,1,1,0,0
Indianapolis,37,1,1,1,1,NA,1,0,1,1,NA,NA,NA,NA,0
Tampa,3,1,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA
Tampa,96,1,NA,1,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,1
New Orleans,-2.5,1,NA,0,0,NA,1,0,1,1,NA,NA,NA,NA,0
Tucson,141,1,NA,1,1,NA,1,1,1,1,0,1,1,0,1
St Louis,12,1,NA,1,1,NA,NA,NA,NA,NA,0,0,0,0,NA
Tampa,6.5,1,NA,0,1,NA,1,1,1,1,0,0,0,0,NA
New Orleans,-8,1,NA,0,1,NA,1,0,NA,1,NA,NA,NA,NA,0
Indianapolis,0,1,NA,0,1,NA,1,1,NA,1,NA,NA,NA,NA,0
Tucson,20,1,NA,0,1,NA,1,1,1,1,NA,NA,NA,NA,NA
Tampa,5,1,NA,NA,NA,NA,1,0,1,1,0,0,0,0,1
Tampa,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tampa,3.5,1,NA,NA,NA,NA,0,0,NA,1,NA,NA,NA,NA,NA
Santa Barbara,60,1,1,1,1,1,1,1,0,1,0,0,0,0,1
St Louis,3,1,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,NA,NA
Tucson,0,1,NA,0,1,NA,1,1,1,1,0,0,0,0,0
Philadelphia,9.5,1,NA,0,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1
Indianapolis,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Indianapolis,156,1,NA,0,1,0,1,1,1,1,0,1,1,1,1
Philadelphia,3.5,1,NA,0,NA,NA,1,1,NA,1,NA,NA,NA,NA,NA
Indianapolis,49.5,1,NA,1,NA,0,NA,NA,NA,2,NA,NA,NA,NA,1
Nashville,-9.5,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA
